Fairy Tail
Gintama
Elfen Lied
Cowboy Bebop
Gungrave
Code Geass
Puella Magi Madoka Magica
Anohana: The Flower We Saw That Day
From the New World
Dragon Ball Z Kai
Future Boy Conan
The Rose of Versailles
FLCL
One Outs
Ouran High School Host Club
Death Note
KILL la KILL
Attack on Titan
Bleach
When They Cry
Dragon Ball
The Twelve Kingdoms
Legend of the Galactic Heroes
Trigun
Black Butler
Naruto: Shippuden
Gurren Lagann
The Melancholy of Haruhi Suzumiya
Fullmetal Alchemist
Gankutsuou: The Count of Monte Cristo
Haikyu!!
Kaiba
Eureka Seven
One Piece
Charcoal Feather Federation
Great Teacher Onizuka
Spice and Wolf
Detective Conan
Yu Yu Hakusho: Ghost Files
Black Lagoon
Dragon Ball Z
Serial Experiments Lain
Neon Genesis Evangelion
Lovely Complex
Hellsing Ultimate
Soul Eater
Claymore
Kuroko's Basketball
Kanon
Big Windup!
Steins;Gate
Bakemonogatari
Moribito: Guardian of the Spirit
Maison Ikkoku
Maid Sama!
Durarara!!
Kids on the Slope
The Tatami Galaxy
Princess Tutu
Ghost in the Shell: Stand Alone Complex
Kino's Journey
JoJo's Bizarre Adventure
Nichijou: My Ordinary Life
Ef: A Tale of Melodies.
Last Exile
Fullmetal Alchemist: Brotherhood
Baccano!
Fighting Spirit
The Future Diary
Mononoke
Mushi-Shi
Fate/Zero
Mobile Suit Zeta Gundam
Wolf's Rain
Fighting Spirit: New Challenger
Clannad: After Story
Slam Dunk
Berserk
Monster
Nana
Darker Than Black
Sword Art Online
Magi: The Labyrinth of Magic
Samurai Champloo
Nodame Cantabile
Ergo Proxy
Mobile Suit Gundam 00
Beck: Mongolian Chop Squad
MAJOR
Toradora!
Welcome to the N.H.K.
Psycho-Pass
Rurouni Kenshin
Planetes
Honey and Clover
Hunter x Hunter
Natsume's Book of Friends
Azumanga Daioh: The Animation
Clannad
